Reference,Qty,Value,Footprint,Supply URL,Supply URL 2
BT1,1,Battery_Cell,SmartElectricityMeter:CR1220,https://www.thegioiic.com/de-pin-cr1220-dan-smd,
C1,1,100nF,SmartElectricityMeter:C_Rect_L16.5mm_W5.0mm_P15.00mm_MKT,https://www.thegioiic.com/tu-keo-vang-x2-100nf-0-1uf-104k-275vac,
"C2,C3,C28,C35",4,4.7uF,SmartElectricityMeter:Ceramic_Cap_0805,https://www.thegioiic.com/tu-gom-0805-4-7uf-50v,
"C4,C11,C16,C18,C20,C22,C24,C26,C27,C29,C32,C33,C36,C40,C43,C44,C45,C46,C47,C48,C50,C51,C57",23,100nF,SmartElectricityMeter:Ceramic_Cap_0805,https://www.thegioiic.com/tu-gom-0805-100nf-0-1uf-50v,
"C5,C7",2,100uF,SmartElectricityMeter:CP_Elec_8x10.5,https://www.thegioiic.com/tu-nhom-smd-100uf-35v-8x10-5mm,
C6,1,10pF,SmartElectricityMeter:Ceramic_Cap_0805,https://www.thegioiic.com/tu-gom-0805-10pf-50v,
C8,1,1nF,SmartElectricityMeter:Ceramic_Cap_0805,https://www.thegioiic.com/tu-gom-0805-1nf-50v,
C9,1,8.2nF,SmartElectricityMeter:Ceramic_Cap_0805,https://www.thegioiic.com/tu-gom-0805-8-2nf-50v,
"C10,C12,C54,C55,C56",5,10uF,SmartElectricityMeter:Tant_Cap_1206,"https://www.thegioiic.com/tu-tantalum-10uf-10v-1206-taja106k010rnj,https://www.thegioiic.com/tu-tantalum-10uf-16v-1206-taja106k016rnj",
"C13,C14",2,47uF,SmartElectricityMeter:Ceramic_Cap_0805,https://www.thegioiic.com/tu-gom-0805-47uf-6-3v,
"C15,C17,C21,C23,C41,C49",6,10uF,SmartElectricityMeter:Ceramic_Cap_0805,https://www.thegioiic.com/tu-gom-0805-10uf-16v,
"C19,C25",2,6.8nF,SmartElectricityMeter:Ceramic_Cap_0805,https://www.thegioiic.com/tu-gom-0805-6-8nf-50v,
"C30,C37",2,10nF,SmartElectricityMeter:Ceramic_Cap_0805,https://www.thegioiic.com/tu-gom-0805-10nf-50v,
"C31,C38",2,1uF,SmartElectricityMeter:Ceramic_Cap_0805,https://www.thegioiic.com/tu-gom-0805-1uf-16v,
C34,1,15pF,SmartElectricityMeter:Ceramic_Cap_0805,https://www.thegioiic.com/tu-gom-0805-15pf-50v,
"C39,C42",2,22pF,SmartElectricityMeter:Ceramic_Cap_0805,https://www.thegioiic.com/tu-gom-0603-22pf-50v,
"C52,C53",2,100uF,SmartElectricityMeter:Tanta_2312,https://www.thegioiic.com/tu-tantalum-100uf-10v-2312-tajc107k010rnj,
D1,1,SS34,SmartElectricityMeter:D_SMA,https://www.thegioiic.com/ss34-sma-diode-schottky-3a,
"D2,D3,D4,D9,D10,D11",6,LED_SMD_0805,SmartElectricityMeter:Led_0805,https://www.thegioiic.com/led-vang-0805-dan-smd-trong-suot-harvatek,
"D5,D6,D7,D8",4,BZT52Bxx,SmartElectricityMeter:D_SOD_123,https://www.thegioiic.com/bzt52c3v3-diode-zener-3-3v-500mw,
F1,1,250V 30A,SmartElectricityMeter:FUSE_1808,https://www.thegioiic.com/de-cau-chi-1808-dan-smd,
"J1,J3",2,~,SmartElectricityMeter:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,https://www.thegioiic.com/kf128-2-v-domino-2-chan-thang-5mm-300v-10a-han-pcb-loai-tot,
J2,1,USB_B_Micro,SmartElectricityMeter:SHOUHAN_MICROXNJ,https://www.thegioiic.com/cong-usb-micro-b-2-0-dau-cai-5-chan-smd-v1,
"J4,J7,J8",3,Conn_01x03_Pin,SmartElectricityMeter:PinHeader_1x03_P2.54mm_Vertical,https://www.thegioiic.com/hang-rao-duc-don-2-54mm-40-chan-1-hang-cao-11-2mm-xuyen-lo,
"J5,J6,J9",3,Conn_01x04_Pin,SmartElectricityMeter:PinHeader_1x04_P2.54mm_Vertical,https://www.thegioiic.com/hang-rao-duc-don-2-54mm-40-chan-1-hang-cao-11-2mm-xuyen-lo,
